Red,Green,Blue
3124,5931,4288
2832,5529,4002
3327,6571,4579
3351,6598,4568
3262,6144,4431
3264,6093,4414
3197,6106,4288
3273,6072,4303
3452,6740,4485
4053,8224,5245
4065,8317,5248
4403,8755,5469
4185,8002,5020
4344,8268,5067
4911,9506,5538
4809,9443,5344
4730,9251,5302
4499,8735,5056
4082,7719,4637
4257,8049,4807
4574,8311,5215
4574,8311,5215
4525,8518,5124
4564,8769,5153
4572,8736,5175
4375,8336,4987
4164,7977,4782
4252,8109,4900
4359,8479,5128
3989,7837,4707
3845,7320,4571
4018,7697,4752
4003,7480,4777
3957,7436,4788
3719,7199,4557
3720,6931,4855
3619,6631,4734
3566,6533,4452
3477,6400,4430
3492,6350,4469
3484,6221,4611
3320,6046,4496
3552,6905,4850
3466,6958,4821
3433,6948,4809
3479,7125,4831
3471,7211,4753
3406,7216,4607
3529,7401,4718
3865,8028,5173
3986,8338,5530
4069,8411,5656
3607,7459,4720
3314,6752,4363
3314,6752,4363
3156,6287,4101
3275,6555,4151
3476,6851,4446
3690,7142,4704
3652,7191,4591
3585,7025,4668
3560,7082,4731
3841,7771,5614
3835,7820,5640
3566,7060,5042
3872,7769,5711
3888,7750,5575
4014,7834,5551
4564,8452,6223
4701,8540,6487
4517,8618,6681
4805,9295,7255
5334,9931,7737
5423,9929,7907
5081,9537,7561
4928,9337,7270
5202,9824,7440
4743,9220,6744
4724,9103,6505
4821,9064,6592
4536,8582,6120
4253,8149,5739
4287,8260,5606
4472,8453,5766
4446,8324,5797
4002,7523,5191
3929,7326,5026
3929,7326,5026
4487,8288,5658
3942,7445,5188
3910,7329,5241
4301,7788,5689
4099,7733,5358
4032,7532,5279
3850,7277,5184
3980,7379,5376
4060,7753,5114
4216,8155,5241
4455,8698,5530
4535,8905,5575
4412,8715,5609
4297,8411,5733
4359,8398,5795
4155,8431,5387
3991,8214,5145
4098,8433,5273
3805,7591,5009
3687,7177,4879
4058,7889,5300
4116,7942,5313
3944,7551,5017
3743,7110,4769
3887,7521,4869
4131,7834,5094
4039,7513,5048
3857,7027,4997
4074,7544,5221
4220,7984,5317
4247,8002,5275
4312,8195,5335
4312,8195,5335
4354,8416,5381
4329,8480,5407
4017,7906,5165
3804,7383,5024
3506,6821,4707
3450,6685,4657
3483,6669,4732
3257,6305,4502
3296,6316,4586
3360,6462,4723
3731,7201,5161
3596,7219,5022
3844,7627,5329
3696,7562,5135
3565,7351,4975
3548,7218,4933
3457,6985,4769
3572,6990,4848
3682,7079,4954
3644,7102,4884
3559,6974,4826
3594,7030,4868
3589,7215,4910
3853,7615,5295
3504,7103,4847
3693,7370,5060
3751,7425,5109
3970,7777,5299
4025,7919,5317
4041,7985,5281
4029,7921,5187
4286,8288,5348
4286,8288,5348
4727,8863,5650
4736,8887,5629
4712,8840,5507
5056,9308,5776
5301,9828,5741
5673,10426,6020
5572,10244,5932
5660,10422,5893
6205,11180,6289
6659,11710,6408
6959,11943,6471
7043,12046,6425
7361,12467,6582
7658,12814,6811
7754,12889,6742
7486,12354,6499
6969,11383,6133
6631,10748,5918
6527,10564,5994
6364,10405,5751
6266,10294,5828
5943,9897,5564
5748,9585,5430
5810,9692,5591
5603,9444,5511
5523,9366,5494
5173,9018,5297
4897,8743,5181
4844,8674,5188
4933,8900,5347
4632,8308,5227
4632,8308,4886
4287,7765,4886
4154,7559,4779
4126,7580,4729
4205,7740,4813
4174,7617,4869
4339,8023,5012
4316,8033,4972
4632,8603,5320
4741,8999,5301
4932,9262,5397
4990,9241,5480
4848,8880,5367
5089,9303,5616
5416,10025,6066
5135,9868,5779
4963,9526,5588
4892,9474,5533
4631,9246,5367
4406,8970,5347
4430,8975,5525
4447,8923,5582
4484,8957,5678
4025,8303,5193
3970,8191,5244
3888,7995,5208
3832,7912,5215
4003,8073,5421
3679,7585,5060
3738,7697,5168
3641,7555,5147
3526,7362,5050
3176,6826,4623
3176,6826,4623
3226,6795,4726
3158,6452,4659
3388,6708,4912
3561,7107,5139
3334,6843,4833
3449,6975,4957
3286,6912,4806
3349,6999,4840
3603,7217,5094
3351,6844,4752
3261,6756,4592
3381,6855,4748
3579,7159,4949
3616,7117,4963
3565,6984,4856
3570,6807,4863
3387,6595,4641
3512,6880,4802
3908,7528,5252
3750,7298,5046
3547,6893,4795
3509,6656,4752
3577,6815,4773
3530,6694,4741
3588,6818,4770
3586,6766,4716
3725,6858,4831
3776,6952,4877
4019,7588,5088
4067,7807,5095
4311,8495,5332
4398,8809,5350
4398,8809,5350
4784,9253,5494
5552,10146,5809
6116,10977,6045
6672,11708,6291
7249,12160,6446
7532,12327,6400
8086,13142,6692
8270,13492,6813
8444,13845,6821
8524,14007,6916
8571,14046,6974
8104,13341,6595
7843,13117,6684
7464,12617,6529
7612,12907,6825
7614,13023,7010
6794,11805,6491
5972,10367,5919
5851,10363,5845
6049,10899,5983
5661,9991,5650
5931,10454,5886
6104,10805,6004
6336,11209,6202
6203,10818,6044
5978,10404,5792
6319,11009,6046
6634,11590,6155
6819,11547,6342
6754,11454,6132
7071,11928,6196
7826,12897,6895
7826,12897,6895
7618,12492,6428
7631,12284,6505
7041,11307,6105
6481,10494,5745
6321,10298,5750
5993,9839,5665
5287,8718,5364
4911,8180,5181
4802,8099,5190
4858,8413,5195
5176,9050,5440
6355,11452,6287
6292,11549,6250
5340,9861,5657
4990,9049,5456
5104,9528,5489
5448,10169,5816
5494,10398,5859
5505,10367,5700
5983,10883,6093
6247,11255,6089
6442,11428,6096
6881,12080,6154
7326,12498,6406
7375,12450,6499
6863,11639,6108
6680,11374,5905
6777,11498,6015
7020,11872,6325
6825,11687,6167
6499,11430,5948
6621,11750,6138
6621,11750,6138
6448,11609,6188
5593,10583,5873
4958,9736,5490
4830,9576,5503
4462,8966,5449
4168,8428,5276
4251,8457,5477
3864,7665,5125
3601,7243,4843
3564,7051,4830
3491,6870,4800
3581,6987,4968
3484,6848,4786
3614,7109,4954
3763,7383,5134
3747,7307,5125
3800,7502,5201
3786,7541,5184
3595,7076,4893
3563,6962,4839
3471,6883,4668
3545,7039,4665
3601,6953,4722
3778,7161,4791
3908,7499,4898
4098,7918,5053
4098,7912,5027
4140,7710,5035
3812,7031,4710
3720,6843,4658
3740,7024,4680
3836,7127,4794
3836,7127,4794
3646,6746,4563
3806,6762,4582
4186,7465,4732
4707,8568,5130
5785,10592,5820
7318,12525,6425
8085,13545,6693
8645,14216,7017
8800,13912,6909
8639,13263,6666
9189,13994,7089
9068,13935,6817
8939,13807,6741
8378,13028,6544
8240,13046,6438
8326,13136,6658
7387,11607,6035
7124,11477,6008
6858,11546,5917
6909,11804,6012
6533,11180,5998
6055,10381,5750
6217,10665,5818
6209,10584,5874
5724,9701,5498
5996,10139,5859
5684,9856,5405
5454,9366,5322
5121,8765,5128
5275,9088,5272
5385,9332,5393
5921,10330,5877
5921,10330,5877
5912,10373,5865
