Red,Green,Blue
10544,8385,5864
10572,8426,5837
10279,7853,5521
9689,7222,5257
9689,7222,5257
9542,6856,5098
10433,7114,5447
10558,6836,5515
9958,6168,5145
9597,5831,5170
8826,5261,4768
9018,5332,4865
9284,5582,5117
9788,5711,5181
9497,5639,5116
8969,5355,4854
9098,5555,5124
8956,5288,4709
9073,5544,4900
8666,5328,4823
8300,5082,4712
7392,4596,4340
8443,5264,4780
8831,5438,4934
8323,5060,4679
8201,4815,4584
7820,4577,4412
7227,4434,4299
8744,4927,4774
8786,4936,4819
8518,4890,4814
7755,4552,4539
7314,4318,4341
7429,4458,4487
8199,4928,4932
7433,4600,4602
7712,4586,4578
7712,4586,4578
8345,4900,4852
8428,4962,4903
8462,5037,4965
7642,4656,4565
7443,4559,4455
8130,4975,4814
8818,5163,5012
8215,4784,4685
7100,4296,4249
7833,4541,4496
8730,4921,4847
8416,4837,4769
7500,4456,4432
7698,4538,4521
8173,4716,4675
8147,4729,4660
8551,4972,4836
8411,4962,4829
8446,4901,4774
8509,4978,4849
8074,4785,4656
8560,5068,4869
8378,4996,4775
7750,4739,4538
7043,4342,4231
8624,4926,4746
8769,5022,4820
8462,4839,4707
7743,4616,4491
6953,4386,4285
6260,4128,4016
6770,4339,4172
6770,4339,4172
6775,4333,4135
7899,4904,4581
7861,4910,4584
7522,4773,4471
7978,5013,4588
8744,5434,4835
9080,5661,4971
10177,6341,5461
10793,6985,5857
11632,7805,6149
12578,8931,6614
12573,8967,6435
12355,8739,6374
11302,7625,5871
9740,6346,5246
7861,5162,4611
8785,5739,5075
9492,6054,5302
10081,6147,5314
10252,6541,5614
9477,6093,5299
9307,5903,5214
9894,6146,5247
9904,6325,5472
9637,6001,5255
10154,6216,5438
10086,6150,5405
9952,6054,5284
9789,6085,5309
9501,5882,5154
10168,6254,5396
9678,5936,5119
9678,5936,5119
9596,5958,5169
9957,6163,5291
10072,6108,5268
9610,5875,5151
8938,5430,4874
8410,5221,4777
7909,4574,4340
7814,4503,4376
7666,4612,4350
7028,4327,4121
7414,4545,4279
7184,4424,4154
6908,4393,4118
7720,4959,4498
8545,5468,4839
8951,5660,4863
9865,6313,5216
10550,6662,5464
9942,6255,5265
8772,5561,4862
9361,5820,5121
10423,6324,5430
9644,5747,5050
9103,5356,4802
9084,5355,4841
9723,5688,5079
10315,6129,5418
9517,5840,5180
8572,5304,4758
9183,5600,5005
8882,5355,4805
8237,4859,4512
8237,4859,4512
9537,5472,5076
9077,5493,5119
8244,5066,4743
7821,4785,4514
8491,5036,4803
8422,5041,4880
7312,4478,4399
7001,4388,4330
7162,4442,4383
7682,4713,4672
7467,4642,4625
7135,4462,4461
6863,4360,4374
6949,4302,4335
7485,4660,4673
7284,4583,4596
6911,4418,4437
6332,4006,4054
6334,4152,4207
6350,4086,4135
5762,3807,3871
5996,3913,3975
5968,4019,4071
5921,4023,4067
5955,3958,4007
5976,3997,4042
5776,3896,3932
6570,4240,4220
7342,4616,4574
