Red,Green,Blue
4694,4194,4207
4957,4230,4227
5270,4286,4317
5224,4141,4215
5208,4164,4255
5325,4165,4215
5574,4140,4209
6385,4982,5057
10308,10524,10869
6331,4429,4500
6215,4285,4326
6633,4512,4623
6847,4558,4678
6684,4318,4435
6910,4613,4696
7179,4849,4958
6877,4392,4474
6873,4355,4491
6895,4435,4542
6944,4404,4540
6965,4276,4391
6965,4276,4391
7036,4319,4448
6979,4203,4348
6963,4158,4279
7001,4188,4322
6945,4305,4424
6568,4104,4227
6845,4533,4721
7006,4678,4808
6946,4492,4550
7103,4760,4960
7393,4910,5070
7244,4406,4503
7391,4570,4652
7298,4396,4493
8007,5521,5705
8243,5704,5869
7724,4645,4762
7652,4451,4633
7727,4529,4679
7488,4390,4498
7364,4446,4582
7243,4331,4423
7127,4364,4475
6992,4414,4571
6931,4543,4687
6916,4463,4552
6894,4444,4496
6803,4321,4377
6992,4432,4538
7134,4623,4686
7396,4972,5096
7118,4313,4441
7118,4313,4441
7511,4899,5040
7728,5047,5167
8834,6264,6464
10770,9103,9467
9040,6895,7161
8935,6520,6867
9583,7357,7636
13094,12429,12411
14873,15039,15078
9608,7742,8044
8016,5684,5877
7555,5289,5462
7358,5275,5368
6536,4280,4330
7721,5864,5907
8530,6873,7005
8030,5547,5608
8116,5759,5881
7692,4919,5000
8155,5654,5798
7429,4511,4629
8223,5915,6038
10493,9635,9892
9952,8499,8640
10075,7989,8362
9625,7554,7914
8657,6903,7052
6095,4086,4156
6347,4338,4382
6527,4539,4613
6313,4189,4276
6228,4025,4119
6228,4025,4119
6140,4291,4369
6179,4373,4429
6268,4446,4509
6205,4267,4307
6134,3993,4039
6347,4350,4454
6548,4537,4625
7271,5344,5502
7538,5604,5704
7012,4355,4486
7274,4574,4727
7375,4876,5041
6997,4264,4421
7159,4468,4610
8129,6065,6206
7385,5002,5100
6513,4228,4320
7350,5683,5764
7173,5409,5475
7510,5763,5862
7626,5901,5950
7371,5631,5694
7145,4935,5034
7112,4532,4666
7271,4537,4681
7285,4480,4625
7275,4402,4487
7656,4726,4823
7531,4503,4617
8735,6214,6488
10628,8599,9044
10341,8358,8756
10341,8358,8756
9967,8104,8557
9905,8200,8580
8598,6620,6910
6498,4208,4291
5772,4066,4132
5588,4203,4277
5490,4220,4249
5275,4113,4145
5269,4158,4188
5298,4002,4013
5151,4076,4105
5189,4154,4182
5890,4908,4957
5871,4745,4769
5771,4352,4391
5917,4373,4458
6010,4625,4695
5687,4333,4394
5673,4388,4456
5501,4035,4065
5939,4168,4229
6040,4164,4208
5905,4021,4093
5866,3930,3955
5854,3919,3941
5892,3945,3980
6983,5270,5355
7649,6009,6148
7716,6023,6194
7855,6269,6402
7835,6131,6279
7386,4931,4990
7386,4931,4990
7842,5532,5680
8796,7078,7277
7868,5678,5805
7359,4779,4893
7497,4898,5044
7237,4400,4502
7581,4811,4895
6936,4394,4454
6719,4285,4459
6830,4516,4705
6216,4086,4178
6124,4274,4354
6062,4350,4494
5993,4240,4317
5668,4099,4151
5439,4236,4330
5106,4126,4158
4945,4047,4080
5010,4282,4286
5430,4879,4968
5124,4609,4661
5112,4873,4883
5419,5356,5376
5496,5522,5529
5560,5608,5610
5126,4981,5011
4927,4219,4219
5144,4172,4190
5411,4322,4314
5421,4318,4310
5470,4381,4362
5559,4352,4345
5559,4352,4345
5366,4043,4045
5368,4170,4149
6154,5387,5378
5647,4664,4672
5442,4009,4035
6098,4231,4300
6277,4276,4381
6508,4627,4730
6426,4541,4647
6413,4507,4569
6693,4622,4697
6379,4852,4917
6026,4291,4299
5960,4306,4357
5755,4121,4194
5552,4045,4109
5812,4840,4899
8610,9187,9474
5635,4433,4487
5130,4134,4165
4908,4048,4086
6863,6912,7084
9032,10372,10785
11488,15026,15500
8767,11047,11232
5607,5908,5994
6949,7838,8040
7979,9384,9668
5574,6298,6330
9387,12064,12424
7329,10184,10528
6440,9004,9290
4772,6768,6947
4329,6217,6365
4376,6299,6455
11486,16382,16703
6984,9321,9513
3739,4245,4201
3809,4119,4065
4215,4642,4814
3667,3885,3813
3549,3885,3875
3421,3783,3708
3613,4072,4029
3894,4638,4579
3561,4218,4214
4198,5056,5036
5021,6021,6082
4806,5225,5240
4486,4583,4600
4164,4144,4126
4222,4261,4203
4170,4213,4168
4032,4004,3990
4143,4077,4058
4218,4120,4145
3576,3609,3584
3766,3825,3982
3766,3825,3982
4023,3968,3963
4797,4088,4115
5314,4160,4156
5453,4363,4379
5465,4279,4325
5560,4057,4087
5878,4175,4220
6255,4424,4488
6303,4570,4689
6557,4478,4552
6897,4712,4829
7310,5119,5370
8232,6481,6770
7756,5777,5954
6825,4387,4522
6681,4130,4240
6580,3998,4116
6757,4305,4429
6727,4233,4306
6672,4210,4307
6223,4285,4383
5955,4067,4142
5920,4130,4145
5884,4142,4162
5908,4041,4057
5926,3938,3952
6175,3996,4016
6348,3996,4009
6499,4050,4094
8489,6792,7069
9387,8113,8403
7138,4980,5026
7138,4980,5026
7423,5368,5455
8230,6546,6698
8885,7927,8082
9175,8329,8407
6772,4309,4409
7025,4375,4489
7125,4340,4499
6918,4022,4148
6994,4114,4252
6996,4123,4246
7035,4212,4357
6361,4222,4271
5019,4005,3971
4490,3967,3879
4257,4108,3972
4197,4284,4090
4281,4435,4202
4311,4562,4288
4574,4971,4633
4872,5096,4867
5276,5706,5470
4876,5246,4883
4851,5355,4827
4313,4688,4288
4761,5028,4646
14081,17331,17443
16288,20297,20482
13710,16667,16727
10583,12777,12986
14879,19389,19761
7571,10230,9975
8842,11961,11793
8842,11961,11793
12896,17710,17706
5296,7244,7404
5791,7880,8096
6669,9093,9394
7652,10404,10732
7441,10130,10450
7273,9956,10264
6329,8816,9055
6829,9459,9720
7136,9852,10118
6221,8615,8865
14252,17722,18463
12343,18632,18824
9379,12893,13312
9342,12846,13208
8959,12216,12594
9153,12322,12823
6851,9140,9488
4651,6142,6286
16580,20029,20512
11776,13042,13408
7054,5734,5845
9131,8429,8685
10852,10422,10876
10056,9406,9678
11168,11242,11507
10572,9873,10154
